"Time","Machine","User","Access","SourceAddr"
"2/17/2024 8:14:51 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 7:19:57 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/17/2024 6:26:51 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 4:38:50 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 2:50:50 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 1:02:50 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 11:31:48 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 11:19:56 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/17/2024 9:57:48 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 8:23:47 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 6:35:47 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 5:36:30 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/17/2024 4:47:47 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 3:52:41 AM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/17/2024 3:19:55 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/17/2024 3:13:46 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/17/2024 1:25:46 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 11:54:46 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 10:23:45 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/16/2024 9:00:01 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"2/16/2024 8:41:45 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 7:19:54 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"2/16/2024 6:45:44 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 5:12:43 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 3:39:43 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 2:09:42 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"2/16/2024 2:02:11 PM","EMICA","adminemica","NTLM","-"
"2/16/2024 1:45:21 PM","EMICA","adminemica","NTLM","-"
"2/16/2024 1:42:05 PM","EMICA","adminemica","NTLM","-"
